entry_date,entry_minute,exit_date,exit_minute,entry_price,exit_price,position_size,pnl
20241008,141,20241008,142,7093.840654774431,7102.405858541128,0.9642459748669778,0.0
20241008,143,20241008,144,7077.86770720951,7049.857175972475,0.9455152749264686,0.0
20241008,144,20241008,145,7066.293107524784,7052.635079896809,0.9635746634735849,-0.002199232908100826
20241008,149,20241008,150,7113.748966232159,7134.120261677275,-0.8336056816569979,0.0
20241008,150,20241008,151,7122.08267800516,7134.35175367097,-0.9095392456962138,-0.001408941540862113
20241008,154,20241008,155,7061.894759644589,7033.421244420165,0.6821236601731271,0.0
20241008,155,20241008,156,7066.524599518479,7039.671528249916,0.9682755569307191,-0.003195429581496256
20241008,168,20241008,169,7006.105189164213,6987.354337674959,0.8134619739245427,0.0
20241008,169,20241008,170,7000.086397328157,6974.853770015455,0.9690558302052077,-0.0014795597925145287
20241008,170,20241008,171,6988.048813656042,6974.853770015455,0.9865081205427638,-0.0018298003220491373
20241008,179,20241008,180,7018.142772836327,7063.283711606756,-0.8181905816455493,0.0
20241008,180,20241008,181,7048.699716004003,7069.071011449119,-0.998919137385902,-0.001692863694823018
20241008,181,20241008,182,7063.052219613061,7069.071011449119,-0.9989267761172558,-0.0008512306241040959
20241008,187,20241008,188,7031.569308470609,7005.410713183129,0.8032310588218814,0.0
20241008,188,20241008,189,7024.624548659774,6994.0676054921,0.9315137797896447,-0.0021970070153968847
20241008,189,20241008,190,7004.253253214657,6993.60462150471,0.9448806040225423,-0.0013546156694563573
20241008,194,20241008,195,7042.44943217425,7042.91241616164,-0.5437529478936731,0.0
20241008,196,20241008,197,7037.356608312972,7072.080407367147,-0.6342782684975544,0.0
20241008,197,20241008,198,7059.34834771395,7073.932343316704,-0.7147322274507534,-0.0011439680199167952
20241008,205,20241008,206,7104.489286484378,7145.231877374611,-0.943156008474017,0.0
20241008,206,20241008,207,7143.61143341875,7164.677204844949,-0.942567709840394,-0.00021394381085957092
20241008,207,20241008,208,7145.463369368305,7164.677204844949,-0.9218233649129184,-0.002534522950618775
20241008,213,20241008,214,7218.15185538838,7218.846331369464,-0.6437165298570795,0.0
20241008,223,20241008,224,7199.863987886514,7168.612568737755,0.8581633058705376,0.0
20241009,20,20241009,21,7071.617423379758,7076.941739234731,-0.7415906271392163,0.0
20241009,26,20241009,27,7032.958260432775,6997.771477391211,0.9425154220915464,0.0
20241009,27,20241009,28,7019.763216792189,6991.9841775488485,0.9363983391321916,-0.0029527425504121516
20241009,28,20241009,29,6995.919541441655,6994.0676054921,0.9396751338543925,-0.00052674536796433
20241009,30,20241009,31,6994.530589479488,6962.816186343341,0.9310611296275826,0.0
20241009,31,20241009,32,6975.316754002844,6930.638799219804,0.8758980139188919,-0.001668568332665986
